respondent_id,persona_label,Q1_age,Q2_gender,Q3_state,Q4_location,Q5_income,Q6_edu_level,Q7_stream,Q8_board,Q9_academic_perf,Q10_career_clarity,Q11_challenges,Q12_past_guidance,Q13_guidance_satisfaction,Q14_decision_urgency,Q15_subject_interests,Q16_career_domain,Q17_learning_style,Q18_top_skills,Q19_influencers,Q20_who_pays,Q21_career_factors,Q22_past_spending,Q23_info_sources,Q24_missing_gap,Q25_psych_fear_wrong_choice,Q25_psych_prefer_independent,Q25_psych_financial_over_passion,Q25_psych_risk_tolerance,Q25_psych_long_term_thinking,Q26_feature_prefs,Q27_tradeoff_wtp,Q28_monthly_wtp,Q29_onetime_wtp,Q30_primary_source,Q31_platform_adoption,wtp_monthly_numeric,urgency_score,income_numeric,clarity_score,psycho_composite
R0315,Anxious Achiever,18-20,Female,Maharashtra,Metro city,Rs5-10L,UG 1st year,Science PCB,CBSE,60-70%,Somewhat confused,Financial constraints,Private counsellor (paid),2 - Dissatisfied,Within 3 months,Literature Languages|Mathematics Statistics|Technology Computers AI,Medicine and Healthcare,Peer discussions,Empathy interpersonal skills|Mathematical ability,Extended family|Myself - independent,Joint decision,Help society|High earning potential|Location flexibility,Private career counsellor session,I dont search - feel lost|Social media,Open text response,4,3,4,3,5,Scholarship finder,Would not spend Rs499,Rs500-999/mo,Yes up to Rs499,Social media,Definitely would use,750,1,750000.0,4,3.8
R0316,Anxious Achiever,18-20,Male,Telangana,Metro city,Rs2-5L,UG 1st year,Science PCB,State Board,80-90%,Very confused,Dont know my strengths|No access to mentors,Private counsellor (paid),5 - Very satisfied,Within 3 months,Design Art Media|Medicine Healthcare|Science Physics Chemistry Biology,Emerging fields|Medicine and Healthcare,Gamified learning|Peer discussions,Not sure yet|Research writing,Myself - independent|Teachers / counsellors,Joint decision,Job security and stability|Work-life balance,Online courses / certifications|Study materials / books,Parents / family|Social media,Open text response,4,2,3,3,4,1-on-1 mentorship|Peer community forums|Psychometric tests,Detailed career report,Rs100-299/mo,Yes up to Rs999,Coaching institute,Likely would use,200,1,350000.0,5,3.2
R0317,Anxious Achiever,24 or above,Male,Maharashtra,Metro city,Rs5-10L,Class 12,Science PCB,State Board,60-70%,Somewhat confused,Financial constraints|Too many options,Family/friends only,3 - Neutral,1-2 years,Mathematics Statistics|Medicine Healthcare|Science Physics Chemistry Biology,Education and Research|Social Work Development,Live classes|Peer discussions,Analytical logical thinking,Myself - independent|Parents / guardians,I decide - parents pay,Social status / prestige|Work-life balance,Coaching classes (JEE NEET etc),Career apps / websites|I dont search - feel lost,Open text response,5,3,3,3,5,Peer community forums,Would not spend Rs499,Rs100-299/mo,Yes up to Rs499,Google / web search,Definitely would use,200,4,750000.0,4,3.8
R0318,Focused Climber,15-17,Female,Maharashtra,Metro city,Below Rs2L,Class 10,Science PCB,State Board,80-90%,Mostly clear,No access to mentors|Unaware of emerging careers,School counsellor (free),5 - Very satisfied,6-12 months,Mathematics Statistics|Science Physics Chemistry Biology,Education and Research|Medicine and Healthcare|Technology and Engineering,Reading articles/books,Mathematical ability|Technical coding skills,Myself - independent|No one - still figuring out,Not sure,Help society|Job security and stability,Coaching classes (JEE NEET etc),Coaching institutes|Social media|Teachers / school,Open text response,3,4,3,5,4,College and exam recommender|Salary and job demand dashboard,Detailed career report,Above Rs1000/mo,No - would not pay,Coaching institute,Definitely would use,1200,3,100000.0,2,3.8
R0319,Confused Drifter,15-17,Prefer not to say,Andhra Pradesh,Tier-3 city,Rs5-10L,Class 11,Arts / Humanities,CBSE,80-90%,Just exploring,Dont know exams needed|Family pressure,Family/friends only,4 - Satisfied,1-2 years,Literature Languages|Mathematics Statistics,Business Finance Entrepreneurship|Social Work Development|Technology and Engineering,Gamified learning|Reading articles/books,Creative thinking design,Myself - independent,Parents decide and pay,Job security and stability|Location flexibility|Work-life balance,Nothing - never paid,I dont search - feel lost,Open text response,4,2,2,2,2,College and exam recommender|Peer community forums|Salary and job demand dashboard,3mo platform access,Rs100-299/mo,No - would not pay,Online career platform,Neutral,200,4,750000.0,3,2.4
R0320,Pragmatic Follower,21-23,Male,Odisha,Tier-3 city,Rs5-10L,Class 11,Science PCB,CBSE,60-70%,Somewhat confused,Family pressure|Financial constraints,Online platform,1 - Very dissatisfied,More than 2 years,Government Policy|Medicine Healthcare,Business Finance Entrepreneurship|Law and Civil Services|Social Work Development,Gamified learning|Live classes|Reading articles/books,Communication public speaking|Leadership teamwork|Technical coding skills,Online influencers / social media,Parents decide and pay,Personal passion|Scope for growth,Private career counsellor session|Test prep apps / subscriptions,Coaching institutes|Google / web search|Teachers / school,Open text response,4,2,5,3,3,Personalised roadmap|Psychometric tests,Exam study plan,Rs100-299/mo,Yes up to Rs499,YouTube,Definitely would use,200,5,750000.0,4,3.4
R0321,Pragmatic Follower,Under 15,Male,Tamil Nadu,Tier-2 city,Rs2-5L,Class 12,Science PCB,CBSE,Above 90%,Just exploring,Financial constraints|Too many options,School counsellor (free),3 - Neutral,More than 2 years,Government Policy|Medicine Healthcare,Medicine and Healthcare|Social Work Development,Gamified learning|Watching videos,Not sure yet,Myself - independent|Teachers / counsellors,Parents decide and pay,Job security and stability,Nothing - never paid|Private career counsellor session,Teachers / school,Open text response,4,2,3,1,3,AI chatbot 24/7|Peer community forums|Scholarship finder,3mo platform access,Rs300-499/mo,Yes up to Rs199,Family / relatives,Definitely would NOT use,400,5,350000.0,3,2.6
R0322,Anxious Achiever,18-20,Male,Punjab,Metro city,Above Rs20L,UG 2nd year+,Science PCM,State Board,Not applicable,Just exploring,Dont know exams needed|Financial constraints,Private counsellor (paid),4 - Satisfied,3-6 months,Design Art Media|Technology Computers AI,Business Finance Entrepreneurship|Technology and Engineering,Gamified learning|Hands-on projects|Reading articles/books,Leadership teamwork,Extended family|Myself - independent,Parents decide and pay,Help society|Personal passion,Nothing - never paid|Study materials / books,Coaching institutes|Google / web search|Parents / family,Open text response,4,3,4,3,4,Psychometric tests,3mo platform access,Nothing - free only,Yes up to Rs499,Google / web search,Neutral,0,2,2500000.0,3,3.6
R0323,Anxious Achiever,15-17,Female,Maharashtra,Metro city,Rs2-5L,Class 9 or below,Vocational / Diploma,State Board,Below 60%,Mostly clear,Too many options|Unaware of emerging careers,School counsellor (free),3 - Neutral,More than 2 years,Agriculture Environment,Emerging fields|Social Work Development|Sports Fitness Wellness,Gamified learning|Watching videos,Analytical logical thinking|Creative thinking design|Research writing,Teachers / counsellors,I decide and pay myself,Personal passion|Work-life balance,Online courses / certifications,Google / web search|Teachers / school,Open text response,5,3,3,3,3,AI chatbot 24/7|Salary and job demand dashboard,Detailed career report,Rs100-299/mo,Yes above Rs999,I dont use anything,Likely would use,200,5,350000.0,2,3.4
R0324,Anxious Achiever,15-17,Female,Assam,Tier-3 city,Rs2-5L,Class 11,Science PCM,State Board,80-90%,Mostly clear,Family pressure,Never received guidance,3 - Neutral,Within 3 months,Business Finance Economics|Design Art Media|Science Physics Chemistry Biology,Technology and Engineering,Peer discussions,Creative thinking design|Empathy interpersonal skills|Mathematical ability,Extended family|Friends / peers,Parents decide and pay,Help society|Personal passion|Scope for growth,Online courses / certifications,Google / web search|YouTube,Open text response,4,3,3,2,4,1-on-1 mentorship|Salary and job demand dashboard,Exam study plan,Rs100-299/mo,Yes up to Rs499,Online career platform,Definitely would use,200,1,350000.0,2,3.2
R0325,Curious Explorer,15-17,Male,Karnataka,Rural / Village,Rs5-10L,Class 11,Science PCB,CBSE,Above 90%,Somewhat confused,Family pressure|Too many options,Never received guidance,2 - Dissatisfied,More than 2 years,Medicine Healthcare,Education and Research|Medicine and Healthcare,Gamified learning,Communication public speaking|Technical coding skills,Friends / peers,I decide - parents pay,Social status / prestige,Nothing - never paid,Career apps / websites|Coaching institutes,Open text response,3,3,3,5,4,Psychometric tests,3mo platform access,Nothing - free only,Yes up to Rs199,Family / relatives,Neutral,0,5,750000.0,4,3.6
R0326,Focused Climber,24 or above,Male,Punjab,Metro city,Below Rs2L,UG 2nd year+,Science PCM,CBSE,70-80%,Somewhat confused,Fear of wrong choice|Unaware of emerging careers,Private counsellor (paid),5 - Very satisfied,3-6 months,Mathematics Statistics|Science Physics Chemistry Biology,Defence and Public Service|Social Work Development|Technology and Engineering,Reading articles/books,Creative thinking design|Not sure yet|Research writing,Teachers / counsellors,Parents decide and pay,Job security and stability,Study materials / books,Coaching institutes|Parents / family,Open text response,3,5,5,4,4,1-on-1 mentorship|Personalised roadmap,3mo platform access,Rs300-499/mo,Yes up to Rs999,School teacher/counsellor,Likely would use,400,2,100000.0,4,4.2
R0327,Curious Explorer,18-20,Male,Odisha,Tier-2 city,Rs2-5L,Class 12,Science PCM,CBSE,Below 60%,Very confused,Family pressure|Too many options,Online platform,1 - Very dissatisfied,6-12 months,Business Finance Economics|Mathematics Statistics|Technology Computers AI,Emerging fields|Medicine and Healthcare,Hands-on projects|Watching videos,Analytical logical thinking|Not sure yet,Extended family|Online influencers / social media,I decide - parents pay,Job security and stability|Work-life balance,Coaching classes (JEE NEET etc)|Study materials / books,Social media|YouTube,Open text response,4,5,3,5,3,Scholarship finder,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs199,Online career platform,Unlikely to use,70,3,350000.0,5,4.0
R0328,Anxious Achiever,24 or above,Male,Uttar Pradesh,Tier-3 city,Rs2-5L,Class 12,Not decided,CBSE,70-80%,Very confused,Dont know exams needed|Fear of wrong choice,Private counsellor (paid),4 - Satisfied,6-12 months,Business Finance Economics|Design Art Media|Law Social Sciences,Business Finance Entrepreneurship|Education and Research|Emerging fields,Hands-on projects|Live classes|Peer discussions,Communication public speaking|Mathematical ability|Technical coding skills,Myself - independent,Parents decide and pay,High earning potential|Personal passion|Work-life balance,Nothing - never paid|Test prep apps / subscriptions,Coaching institutes|YouTube,Open text response,4,4,3,1,4,Personalised roadmap|Scholarship finder,Would not spend Rs499,Above Rs1000/mo,Yes above Rs999,School teacher/counsellor,Definitely would use,1221,3,350000.0,5,3.2
R0329,Focused Climber,18-20,Male,Karnataka,Metro city,Rs2-5L,Class 12,Commerce with Maths,CBSE,70-80%,Mostly clear,Dont know exams needed|No access to mentors,Online platform,5 - Very satisfied,6-12 months,Mathematics Statistics|Science Physics Chemistry Biology,Business Finance Entrepreneurship|Emerging fields,Live classes,Communication public speaking|Not sure yet|Research writing,Parents / guardians,I decide - parents pay,Job security and stability|Scope for growth,Coaching classes (JEE NEET etc)|Test prep apps / subscriptions,I dont search - feel lost,Open text response,1,3,5,4,5,College and exam recommender|Salary and job demand dashboard,3mo platform access,Above Rs1000/mo,Yes above Rs999,School teacher/counsellor,Definitely would use,1200,3,350000.0,2,3.6
R0330,Confused Drifter,15-17,Female,Himachal Pradesh,Tier-2 city,Below Rs2L,Class 11,Commerce with Maths,Other,80-90%,Mostly clear,Too many options,Never received guidance,3 - Neutral,Within 3 months,Government Policy|Literature Languages,Emerging fields|Law and Civil Services,Gamified learning|Watching videos,Analytical logical thinking,Extended family|Online influencers / social media,Not sure,Help society|High earning potential|Job security and stability,Online courses / certifications,Coaching institutes|Google / web search|I dont search - feel lost,Open text response,5,2,3,3,3,Salary and job demand dashboard,3mo platform access,Up to Rs99/mo,Yes up to Rs199,Family / relatives,Unlikely to use,70,1,100000.0,2,3.2
R0331,Focused Climber,21-23,Female,Karnataka,Tier-2 city,Rs2-5L,UG 2nd year+,Science PCM,State Board,Above 90%,Mostly clear,Dont know my strengths|Financial constraints,Online platform,NA,Within 3 months,Science Physics Chemistry Biology|Technology Computers AI,Education and Research|Social Work Development,Hands-on projects,Analytical logical thinking|Leadership teamwork|Technical coding skills,Friends / peers,I decide and pay myself,Location flexibility|Scope for growth|Work-life balance,Coaching classes (JEE NEET etc),Coaching institutes|Parents / family|YouTube,Open text response,2,5,4,4,5,1-on-1 mentorship|College and exam recommender|Personalised roadmap,1-on-1 professional session,Rs500-999/mo,Yes up to Rs199,Coaching institute,Definitely would use,750,1,350000.0,2,4.0
R0332,Confused Drifter,15-17,Female,Punjab,Metro city,Below Rs2L,Class 12,Science PCB,State Board,80-90%,Mostly clear,No access to mentors|Too many options,Never received guidance,3 - Neutral,More than 2 years,Business Finance Economics|Mathematics Statistics|Medicine Healthcare,Education and Research|Medicine and Healthcare,Reading articles/books,Communication public speaking|Creative thinking design|Technical coding skills,Extended family|Online influencers / social media,I decide and pay myself,Help society,Nothing - never paid,I dont search - feel lost,Open text response,5,3,3,3,3,College and exam recommender|Personalised roadmap|Scholarship finder,Detailed career report,Above Rs1000/mo,Yes above Rs999,YouTube,Likely would use,2102,5,100000.0,2,3.4
R0333,Focused Climber,18-20,Male,Chhattisgarh,Metro city,Above Rs20L,UG 2nd year+,Commerce with Maths,ICSE / ISC,Above 90%,Mostly clear,Fear of wrong choice,Private counsellor (paid),3 - Neutral,3-6 months,Business Finance Economics|Mathematics Statistics|Medicine Healthcare,Sports Fitness Wellness,Gamified learning|Peer discussions,Creative thinking design|Not sure yet|Research writing,Parents / guardians,I decide and pay myself,Help society|Personal passion|Scope for growth,Coaching classes (JEE NEET etc),Career apps / websites,Open text response,4,4,4,4,4,Psychometric tests,3mo platform access,Rs300-499/mo,No - would not pay,Coaching institute,Likely would use,400,2,2500000.0,2,4.0
R0334,Curious Explorer,15-17,Female,Punjab,Tier-3 city,Rs10-20L,Class 10,Vocational / Diploma,CBSE,Above 90%,Somewhat confused,Family pressure,Never received guidance,3 - Neutral,More than 2 years,Technology Computers AI,Defence and Public Service|Law and Civil Services,Gamified learning|Hands-on projects|Live classes,Creative thinking design|Mathematical ability,Myself - independent|Parents / guardians,Joint decision,High earning potential|Scope for growth|Social status / prestige,Online courses / certifications,Career apps / websites|Social media,Open text response,3,3,2,5,3,1-on-1 mentorship|AI chatbot 24/7|Peer community forums,Exam study plan,Rs100-299/mo,Yes up to Rs499,Coaching institute,Neutral,200,5,1500000.0,4,3.2
R0335,Confused Drifter,15-17,Female,Odisha,Tier-3 city,Below Rs2L,UG 2nd year+,Arts / Humanities,CBSE,Not applicable,Very confused,Fear of wrong choice|Too many options,Never received guidance,2 - Dissatisfied,More than 2 years,Business Finance Economics|Law Social Sciences|Literature Languages,Sports Fitness Wellness,Live classes|Reading articles/books,Leadership teamwork|Not sure yet,Friends / peers|Myself - independent,I decide and pay myself,Help society,Coaching classes (JEE NEET etc),Career apps / websites,Open text response,5,2,3,3,3,Personalised roadmap,1-on-1 professional session,Rs100-299/mo,No - would not pay,YouTube,Definitely would NOT use,200,5,100000.0,5,3.2
R0336,Focused Climber,24 or above,Male,Tamil Nadu,Tier-3 city,,PG / Other,Science PCM,State Board,60-70%,Completely clear,Financial constraints|Too many options,School counsellor (free),5 - Very satisfied,Within 3 months,Literature Languages|Mathematics Statistics,Law and Civil Services,Live classes|Watching videos,Empathy interpersonal skills|Mathematical ability,Myself - independent,I decide - parents pay,High earning potential|Personal passion,Test prep apps / subscriptions,I dont search - feel lost|Social media|YouTube,Open text response,1,5,3,4,5,AI chatbot 24/7|Peer community forums,1-on-1 professional session,Rs100-299/mo,Yes up to Rs499,Family / relatives,Neutral,200,1,,1,3.6
R0337,Confused Drifter,15-17,Female,Gujarat,Tier-2 city,Below Rs2L,Class 11,Vocational / Diploma,State Board,70-80%,Just exploring,Too many options|Unaware of emerging careers,Never received guidance,4 - Satisfied,3-6 months,Law Social Sciences|Science Physics Chemistry Biology,Defence and Public Service,Live classes|Watching videos,Technical coding skills,Extended family|No one - still figuring out,Joint decision,Job security and stability|Location flexibility|Work-life balance,Nothing - never paid,Google / web search|Parents / family,Open text response,4,2,3,1,3,1-on-1 mentorship|Peer community forums|Personalised roadmap,Detailed career report,Rs500-999/mo,Yes up to Rs499,YouTube,Definitely would use,400,2,100000.0,3,2.6
R0338,Focused Climber,24 or above,Male,Madhya Pradesh,Metro city,Rs5-10L,UG 1st year,Commerce with Maths,CBSE,Above 90%,Mostly clear,Dont know exams needed|No access to mentors,School counsellor (free),5 - Very satisfied,6-12 months,Agriculture Environment|Business Finance Economics|Mathematics Statistics,Education and Research|Social Work Development,Live classes,Analytical logical thinking|Communication public speaking|Not sure yet,Extended family|Online influencers / social media,I decide and pay myself,Location flexibility|Personal passion,Nothing - never paid,Google / web search|Teachers / school,Open text response,4,4,4,4,5,1-on-1 mentorship|Peer community forums|Salary and job demand dashboard,Detailed career report,Rs500-999/mo,Yes up to Rs199,Social media,Likely would use,750,3,750000.0,2,4.2
R0339,Confused Drifter,21-23,Female,Madhya Pradesh,Metro city,Rs2-5L,UG 1st year,Commerce without Maths,State Board,70-80%,Very confused,Dont know exams needed|Dont know my strengths,School counsellor (free),4 - Satisfied,More than 2 years,Business Finance Economics|Law Social Sciences,Business Finance Entrepreneurship|Sports Fitness Wellness,Hands-on projects|Peer discussions,Technical coding skills,Online influencers / social media,Joint decision,Scope for growth|Social status / prestige|Work-life balance,Coaching classes (JEE NEET etc),Social media|YouTube,Open text response,5,3,5,1,2,Peer community forums|Psychometric tests|Scholarship finder,3mo platform access,Up to Rs99/mo,Yes up to Rs199,Family / relatives,Likely would use,70,5,350000.0,5,3.2
R0340,Pragmatic Follower,15-17,Male,Kerala,Rural / Village,Prefer not to say,Class 10,Commerce with Maths,State Board,60-70%,Somewhat confused,Fear of wrong choice,Private counsellor (paid),4 - Satisfied,More than 2 years,Agriculture Environment|Mathematics Statistics|Technology Computers AI,Emerging fields,Hands-on projects|Peer discussions|Watching videos,Analytical logical thinking|Communication public speaking|Creative thinking design,No one - still figuring out|Teachers / counsellors,I decide - parents pay,Location flexibility,Study materials / books|Test prep apps / subscriptions,Teachers / school,Open text response,4,1,4,3,3,Peer community forums|Salary and job demand dashboard,Detailed career report,Up to Rs99/mo,Yes up to Rs199,Family / relatives,Likely would use,70,5,,4,3.0
R0341,Confused Drifter,18-20,Male,Rajasthan,Metro city,Below Rs2L,Class 11,Vocational / Diploma,State Board,Below 60%,Very confused,Dont know exams needed|Family pressure,Never received guidance,1 - Very dissatisfied,1-2 years,Medicine Healthcare|Technology Computers AI,Social Work Development|Technology and Engineering,Gamified learning|Reading articles/books,Leadership teamwork|Mathematical ability|Not sure yet,Online influencers / social media,Parents decide and pay,High earning potential|Location flexibility|Social status / prestige,Nothing - never paid,Google / web search|Parents / family,Open text response,5,3,3,2,2,Personalised roadmap,3mo platform access,Nothing - free only,No - would not pay,Family / relatives,Definitely would use,0,4,100000.0,5,3.0
R0342,Pragmatic Follower,Under 15,Male,West Bengal,Tier-2 city,,Class 11,Commerce with Maths,State Board,70-80%,Very confused,Dont know exams needed|Fear of wrong choice,School counsellor (free),5 - Very satisfied,6-12 months,Business Finance Economics|Technology Computers AI,Emerging fields,Gamified learning|Reading articles/books,Creative thinking design|Technical coding skills,No one - still figuring out|Teachers / counsellors,I decide - parents pay,Help society|Work-life balance,Coaching classes (JEE NEET etc),I dont search - feel lost,Open text response,4,3,5,2,4,1-on-1 mentorship|AI chatbot 24/7|Psychometric tests,1-on-1 professional session,Up to Rs99/mo,Yes up to Rs499,Online career platform,Definitely would NOT use,70,3,,5,3.6
R0343,Curious Explorer,15-17,Male,Telangana,Metro city,Rs10-20L,Class 12,Commerce without Maths,CBSE,60-70%,Somewhat confused,Family pressure|Unaware of emerging careers,Never received guidance,2 - Dissatisfied,3-6 months,Agriculture Environment|Business Finance Economics|Science Physics Chemistry Biology,Business Finance Entrepreneurship|Emerging fields|Law and Civil Services,Gamified learning|Watching videos,Leadership teamwork,No one - still figuring out|Online influencers / social media,Parents decide and pay,Help society|Work-life balance,Private career counsellor session,Parents / family,Open text response,4,4,2,4,2,AI chatbot 24/7,Exam study plan,Rs300-499/mo,Yes up to Rs199,YouTube,Likely would use,400,2,1500000.0,4,3.2
R0344,Focused Climber,24 or above,Female,Jharkhand,Rural / Village,Rs10-20L,UG 2nd year+,Commerce with Maths,State Board,Above 90%,Completely clear,Fear of wrong choice|Financial constraints,Private counsellor (paid),4 - Satisfied,6-12 months,Business Finance Economics|Design Art Media|Mathematics Statistics,Business Finance Entrepreneurship|Law and Civil Services|Technology and Engineering,Watching videos,Research writing|Technical coding skills,No one - still figuring out,I decide - parents pay,Job security and stability|Personal passion|Scope for growth,Online courses / certifications|Study materials / books,I dont search - feel lost|Parents / family|Teachers / school,Open text response,3,4,3,3,5,Scholarship finder,3mo platform access,Rs300-499/mo,Yes above Rs999,Google / web search,Likely would use,400,3,1500000.0,1,3.6
R0345,Curious Explorer,15-17,Male,Odisha,Tier-2 city,Rs2-5L,Class 9 or below,Science PCM,State Board,60-70%,Just exploring,Fear of wrong choice,Never received guidance,1 - Very dissatisfied,3-6 months,Government Policy|Mathematics Statistics|Medicine Healthcare,Emerging fields|Law and Civil Services|Social Work Development,Hands-on projects|Peer discussions,Communication public speaking|Leadership teamwork|Research writing,No one - still figuring out,I decide - parents pay,Location flexibility|Scope for growth|Work-life balance,Study materials / books,Career apps / websites|YouTube,Open text response,3,3,1,4,2,Peer community forums|Scholarship finder,Would not spend Rs499,Nothing - free only,No - would not pay,School teacher/counsellor,Unlikely to use,0,2,350000.0,3,2.6
R0346,Curious Explorer,Under 15,Male,Gujarat,Rural / Village,Rs10-20L,UG 1st year,Arts / Humanities,State Board,70-80%,Mostly clear,Dont know my strengths|Unaware of emerging careers,Never received guidance,4 - Satisfied,1-2 years,Law Social Sciences|Science Physics Chemistry Biology|Technology Computers AI,Defence and Public Service|Technology and Engineering,Gamified learning|Live classes|Reading articles/books,Creative thinking design,Online influencers / social media|Teachers / counsellors,Parents decide and pay,Job security and stability|Personal passion,Private career counsellor session,Social media|Teachers / school,Open text response,3,3,3,3,4,1-on-1 mentorship|AI chatbot 24/7|Personalised roadmap,Detailed career report,Above Rs1000/mo,No - would not pay,YouTube,Likely would use,1200,4,1500000.0,2,3.2
R0347,Pragmatic Follower,15-17,Female,West Bengal,Rural / Village,Above Rs20L,UG 1st year,Science PCM,ICSE / ISC,70-80%,Very confused,Financial constraints,Online platform,3 - Neutral,6-12 months,Business Finance Economics|Science Physics Chemistry Biology,Sports Fitness Wellness|Technology and Engineering,Hands-on projects|Live classes,Analytical logical thinking|Research writing,Friends / peers|Parents / guardians,Parents decide and pay,High earning potential|Scope for growth,Coaching classes (JEE NEET etc)|Study materials / books,Social media,Open text response,2,3,4,2,3,AI chatbot 24/7,Detailed career report,Rs300-499/mo,No - would not pay,Family / relatives,Likely would use,400,3,2500000.0,5,2.8
R0348,Confused Drifter,18-20,Female,Karnataka,Tier-3 city,Rs2-5L,Class 10,Arts / Humanities,State Board,80-90%,Just exploring,Dont know exams needed|Too many options,Never received guidance,3 - Neutral,6-12 months,Agriculture Environment|Design Art Media|Literature Languages,Creative Arts Media Design|Education and Research|Social Work Development,Watching videos,Analytical logical thinking|Creative thinking design|Not sure yet,Friends / peers|Parents / guardians,I decide - parents pay,High earning potential|Personal passion|Work-life balance,Nothing - never paid,Parents / family|Teachers / school,Open text response,4,3,3,3,3,Personalised roadmap|Psychometric tests|Salary and job demand dashboard,3mo platform access,Rs100-299/mo,Yes above Rs999,School teacher/counsellor,Definitely would NOT use,200,3,350000.0,3,3.2
R0349,Focused Climber,21-23,Male,Madhya Pradesh,Tier-2 city,Rs5-10L,UG 1st year,Science PCM,CBSE,Above 90%,Completely clear,Financial constraints|Unaware of emerging careers,Family/friends only,5 - Very satisfied,1-2 years,Law Social Sciences|Technology Computers AI,Defence and Public Service|Social Work Development|Technology and Engineering,Gamified learning,Empathy interpersonal skills|Research writing,Extended family|No one - still figuring out,Joint decision,Scope for growth|Social status / prestige,Study materials / books,I dont search - feel lost|YouTube,Open text response,3,4,4,4,3,Personalised roadmap|Psychometric tests|Salary and job demand dashboard,1-on-1 professional session,Above Rs1000/mo,Yes above Rs999,YouTube,Likely would use,2066,4,750000.0,1,3.6
R0350,Confused Drifter,18-20,Male,Haryana,Metro city,Rs10-20L,Class 12,Commerce with Maths,State Board,60-70%,Somewhat confused,Dont know my strengths|Financial constraints,Family/friends only,1 - Very dissatisfied,6-12 months,Mathematics Statistics|Medicine Healthcare|Science Physics Chemistry Biology,Business Finance Entrepreneurship|Creative Arts Media Design|Law and Civil Services,Reading articles/books|Watching videos,Analytical logical thinking|Not sure yet,Myself - independent|Parents / guardians,I decide and pay myself,High earning potential|Scope for growth,Online courses / certifications,Coaching institutes|Parents / family,Open text response,4,3,3,2,2,College and exam recommender|Peer community forums|Scholarship finder,3mo platform access,Nothing - free only,Yes up to Rs999,Family / relatives,Unlikely to use,0,3,1500000.0,4,2.8
R0351,Focused Climber,21-23,Male,West Bengal,Metro city,Rs2-5L,UG 2nd year+,Science PCM,Other,80-90%,Mostly clear,Dont know my strengths,Online platform,3 - Neutral,6-12 months,Mathematics Statistics|Technology Computers AI,Defence and Public Service|Technology and Engineering,Reading articles/books,Leadership teamwork|Not sure yet,Friends / peers|Myself - independent,I decide - parents pay,Scope for growth,Online courses / certifications,Career apps / websites|Coaching institutes,Open text response,2,5,2,5,5,College and exam recommender|Peer community forums|Psychometric tests,1-on-1 professional session,Nothing - free only,Yes up to Rs499,Online career platform,Definitely would use,0,3,350000.0,2,3.8
R0352,Confused Drifter,18-20,Non-binary / Other,Punjab,Tier-2 city,Rs5-10L,Class 10,Science PCB,IB,Not applicable,Somewhat confused,Dont know my strengths,Family/friends only,1 - Very dissatisfied,3-6 months,Literature Languages|Science Physics Chemistry Biology,Business Finance Entrepreneurship|Medicine and Healthcare|Social Work Development,Gamified learning,Not sure yet,Myself - independent,I decide and pay myself,High earning potential|Scope for growth|Work-life balance,Test prep apps / subscriptions,Coaching institutes|Teachers / school,Open text response,4,2,4,1,2,1-on-1 mentorship|Salary and job demand dashboard,Exam study plan,Rs100-299/mo,Yes up to Rs199,YouTube,Definitely would use,200,2,750000.0,4,2.6
R0353,Focused Climber,24 or above,Female,Jharkhand,Tier-2 city,Rs5-10L,UG 2nd year+,Commerce without Maths,CBSE,Above 90%,Completely clear,Too many options,Online platform,4 - Satisfied,3-6 months,Business Finance Economics|Design Art Media|Technology Computers AI,Business Finance Entrepreneurship|Emerging fields,Live classes|Reading articles/books|Watching videos,Creative thinking design,Extended family,I decide and pay myself,Social status / prestige|Work-life balance,Online courses / certifications,Google / web search|I dont search - feel lost,Open text response,2,5,4,4,5,1-on-1 mentorship|AI chatbot 24/7|Scholarship finder,1-on-1 professional session,Above Rs1000/mo,Yes above Rs999,Family / relatives,Likely would use,1731,2,750000.0,1,4.0
R0354,Focused Climber,15-17,Male,Himachal Pradesh,Metro city,Rs5-10L,UG 1st year,Science PCB,CBSE,70-80%,Mostly clear,No access to mentors,Private counsellor (paid),5 - Very satisfied,3-6 months,Agriculture Environment|Literature Languages,Medicine and Healthcare|Social Work Development,Reading articles/books,Mathematical ability|Research writing,No one - still figuring out|Parents / guardians,Parents decide and pay,Help society,Coaching classes (JEE NEET etc),I dont search - feel lost|Teachers / school,Open text response,2,5,4,4,5,1-on-1 mentorship|Scholarship finder,1-on-1 professional session,Nothing - free only,Yes up to Rs499,Coaching institute,Likely would use,0,2,750000.0,2,4.0
R0355,Anxious Achiever,15-17,Female,Tamil Nadu,Rural / Village,Rs5-10L,UG 2nd year+,Arts / Humanities,State Board,Below 60%,Very confused,Dont know exams needed|Family pressure,Family/friends only,5 - Very satisfied,6-12 months,Design Art Media|Science Physics Chemistry Biology,Creative Arts Media Design|Social Work Development,Hands-on projects|Live classes|Peer discussions,Not sure yet,Friends / peers|No one - still figuring out,I decide - parents pay,Job security and stability|Personal passion|Scope for growth,Nothing - never paid|Test prep apps / subscriptions,Career apps / websites|I dont search - feel lost,Open text response,5,2,5,4,5,Peer community forums|Personalised roadmap,3mo platform access,Nothing - free only,No - would not pay,YouTube,Neutral,0,3,750000.0,5,4.2
